mu sigma
3.126240874364703 4.006495132909195
2.8990839891975377 3.8872760923016236
3.024553126953374 4.087391082150912
2.821892575480992 4.0688773422076245
3.0016966979630917 4.094993767343963
2.8571006260758196 4.085046489144979
3.082794774932453 4.017394590060464
2.8006378361240154 3.959420301860022
3.0551966643128967 3.9345719141632047
2.919001570097896 3.89474950846675
3.021846974456446 3.915358396250605
2.8398639051217813 4.065361410573591
2.832911965474236 4.054544501855684
2.8821651009917493 4.080493223951748
2.888189782015486 3.9112079428465787
2.8728989650238406 3.917191343685156
2.82814059067888 3.9479508408159236
2.9848054813609135 3.911941841718203
3.06305838307296 3.982078894812421
3.0521781274230833 4.034440554291361
2.8969816151151475 4.080058733085993
3.0141279684160005 3.927361680636719
3.046106983468051 3.954716921111437
2.8447704642367526 4.053131682457887
2.8260374541787723 4.032081387522832
3.0302982496755075 4.052981633695964
3.0570351281232933 4.015701960240415
2.8252011852763697 4.029229471098898
2.9659366368894386 3.9126645148269428
2.8736538327600556 4.068547182924905
2.8215573437184682 3.9758875357168657
3.05638088678381 4.008286385121713
3.0560416105003667 3.984432209163114
3.048179545321987 4.028366654360271
2.859555426240537 3.9334682666445824
3.0348770447509676 4.043131088994605
2.837543797839515 4.039331720687641
2.829548453146594 4.025382512624032
2.896175507978212 3.9198499844324006
2.83036341007574 4.026450614039233
2.8352331703491633 4.033673571069027
2.9890933535884434 3.9239621390238923
3.0030007875478963 4.062229148051222
3.0497660947373113 3.9852439561864044
2.9900723336758634 3.9254165479661767
2.841142401245417 3.9554175364591537
2.826623929063431 3.9844614755824543
2.9656623870430905 4.072947016498192
2.8537952563840614 4.0479038256272935
2.8376272650996572 4.030325809710923
2.8743735032034357 4.060639749925755
2.9052850130901686 4.071099232494724
2.847901807733337 3.9502952239362834
2.9731276795113293 3.9219932931768087
2.9759260341674727 4.069214697252052
3.003875647365446 3.934119553408247
3.0470398295219536 3.994407620760651
2.858375308927401 3.943028597545695
2.9066394672235902 4.069874577607556
3.046141211565681 3.9895910803802686
3.025224453940873 4.041726114099051
2.992085766158796 4.062478750248755
2.8317384703834088 4.011990430156896
2.9059249462911745 4.068930132421058
3.044885734310348 4.006109817963294
3.040909125926598 4.018504949146704
2.964460059262719 3.922064886188204
2.8983088242436033 3.925054637385909
2.8741742978645703 4.0570071685715545
2.853347247221544 4.042728005381161
2.985802312019699 4.063584807737907
3.0439925017496563 3.986883864741752
2.830862072384239 3.994615679254157
2.833377841156688 4.012456121706114
2.999619571421083 4.057333509379168
3.02135083360141 3.9495752852622394
2.833244536771292 4.008358779051938
2.8591634439165334 4.045380966635976
2.8420475169466592 4.026761051235233
2.9467085821425796 3.9222811486881133
2.9837044046260024 3.929763223405904
3.0379087932891125 4.016358640289309
3.026494318120539 4.0343231613532735
2.9909359607376307 3.9331673015694517
2.908872029279908 4.065780401345796
3.0230140596644524 3.9549982555913976
2.876838273090651 4.054342454727994
2.877383175808817 4.054438206926557
2.98980777997416 4.058289241371352
3.0365283751787606 3.976745765928595
2.835769699977297 3.9908470675809484
2.8471153621795193 4.029393088246442
3.0313952774793513 3.966888476006076
2.88025178652617 3.936146226885136
3.0002259425575546 4.053081640070438
3.0398112763247704 4.000244877673298
3.0340209145492842 3.9718708285170794
2.8390663601772648 3.97781816956675
2.8424850036999016 3.9703548885991897
2.9886372447854685 3.933358885827813
2.9619280699634967 4.065827489308418
3.035317723638588 3.9750139749362914
3.0163931555634487 4.041205358898406
3.035967940381783 4.013899524545692
3.038734903182525 3.9894097665753607
2.969787296749569 4.063793448782828
2.852012008947558 3.9582772072320163
2.9995312763461843 3.939418986336002
2.8843600249552996 3.935475848556597
3.0339349261172437 3.9750878151133273
2.8423888354088223 3.973884333134219
2.909081598835381 3.9279245752479226
3.0317942637473685 4.019006862608217
2.8408046557042157 3.9807962441771476
2.840973893909593 3.980505481072335
2.8694758595917764 4.0466882475259
2.8399711090942925 4.006922848651323
3.0010765529602135 3.9420247170277123
2.8616585110448063 3.951349800130913
3.0151165365421373 4.039216943614318
2.8629209776274767 4.041245799444266
2.9509124362725943 3.926609995945558
2.937492688197034 3.926056021985114
3.0056991294114397 4.046048921140063
2.922593894768371 3.9271043801335335
3.031279432573841 4.016819951835192
2.84789764805464 3.96823669136242
2.9841083630306313 4.056693745531955
2.9589692519453283 3.9282289310328
2.941022075590057 4.064736243575588
2.9315836855406525 3.926861189767438
2.972006390259445 3.9312863005839205
2.942196742769812 4.064331482025412
2.9030369795564868 4.059808346929657
2.852047956789007 3.963660513130361
2.946857068809093 4.063934247063937
2.940724986118062 3.927289873535518
2.9791747768646095 3.933885617174841
3.0224353837585887 4.02883034765628
2.8452289818931886 3.976303468577616
2.8415862497719675 3.989944366693134
2.868332886622917 3.948331591616733
2.966320568749487 3.9307796631030527
3.0294996489055563 3.97552164257094
3.0050255968304818 3.9472774855586454
2.9457009447864806 4.063281269841461
2.9941198470699675 3.940885763547024
2.8610509761491083 4.036357953677467
2.8632997286628683 4.038248438111397
2.8951944755059618 4.056203397743894
2.862525017579399 3.9547002462461363
2.930483186804877 4.062304287655892
2.8466934617261224 4.013714688718262
2.899545309601656 4.05679708198609
3.026768653267059 3.9732457793125664
3.012229376905404 4.0368984328357715
2.8928128440255687 4.054165435205993
2.843989771664325 3.9905140922424795
3.0078412941477723 4.040119185527039
2.8586193045034003 3.9603712380397216
2.907898267501323 3.9331014099799786
2.859954849438622 3.959322617207544
2.8515465857971285 4.020471644004752
2.8467071772492054 4.008755819268509
2.9103448848668574 4.05832188211795
2.8848581626950405 3.941867963245161
2.8565535295468263 3.964236271314684
3.0067103938148385 4.039465242032865
2.846251619805074 3.9859579816889616
2.9088123147024714 3.9336450583167935
2.9930945261427273 4.047850916995085
3.0290522911746667 4.0048631073601175
2.9454594038879605 4.0604343041228965
2.861499547671464 3.9595545040808355
2.8894265497540275 3.9404816938639198
2.9328739226637297 4.060365624552286
3.0193027686346623 4.0255168671945585
2.8997321066327046 3.9365823819242434
2.867047202849794 3.9545115251031415
2.8587700696209795 3.9631716315389824
2.852828181009927 4.01927825416667
2.865607174073727 3.9564008297599154
2.98282358346993 4.051538174753276
2.8708811829230854 4.039228460739637
2.979613556504525 3.9384746048344295
2.9899166101912176 3.943069144654266
2.8513328115379286 3.9763552363517314
2.92098530201287 4.058491050636926
3.021293795823785 4.020420255881312
2.9763813735540925 3.937700096915732
3.0271010861021623 3.9855810453488916
3.0265949032061537 3.9839103908970057
3.0236462938080306 4.01458066164405
3.0276791294768968 3.9963299469948788
2.942569991148459 3.9321142279039485
2.8489228174789094 3.987754152508127
2.855896286635935 3.970573482781869
2.9302735844902976 3.932699856393782
2.9695814742289977 3.936687100973405
3.026807328050776 3.9928585363937557
2.876974585074161 3.9495799712956003
2.857332577270565 4.022496759801094
2.855433676199033 4.019268066323663
2.990680286052126 4.04606112013068
2.851050033962786 3.982210250940785
3.0263755421160554 3.9913855833335328
2.8539494295867596 3.975140088996797
2.8605436111581266 4.0263960316611005
2.9826716411409526 4.04963240167277
2.9472275330440496 3.9332391679392225
2.8604337405235967 3.965163321993057
2.9284966608839165 3.9332636206134204
2.9463707143626223 3.933274336011812
3.0247040464266615 3.9841868367982487
2.9983328540912693 4.041029035996792
2.997995078945579 4.041200237427848
3.0003005894189965 4.039622992057864
2.9692669920927957 4.053736101291545
2.898929708447901 4.051395651187884
2.9021059388634547 3.938734005844288
2.8501550630313846 4.000193096533848
2.995119598628765 4.042620965696865
2.8683605421653766 3.957604363952208
2.906323514021607 4.053466704763537
3.0185500618581513 4.019882336784169
2.8507551789282988 3.9887861137207175
3.0248085616116094 4.00249091876759
2.9058894235444965 3.937964220374053
2.9338003810144158 4.057224251878865
3.005986538903775 4.034011508998284
2.926985168899413 3.934339353461848
3.0148276155442097 4.024432826585787
3.0042408619660144 4.035429536483452
2.9617315452852644 4.0546648480998595
2.8984078647219356 3.940679616405017
2.9118442712873147 3.936921906422086
2.8785881564674924 3.9507117371279725
2.949684103163785 3.9347544392997658
2.9537319087089364 3.935257425428717
2.8674351012391734 3.9598755521848
2.856183165567096 3.9752518500294443
2.9807653623615975 3.942397724427487
2.9187479877221905 4.055047975955964
2.866083162607646 4.029572811279173
2.9415980788544522 3.9345217258502094
3.01757512874754 4.0188534474828606
3.014282842769664 3.967364355235505
3.002766838179189 3.955560671319618
2.9379808335624786 4.056384162708317
2.998880254183416 4.038408126069443
2.8792505993663564 4.040122553259452
2.8978774860873866 3.9416472479683295
2.875983549877085 4.037778245545153
2.9043472034486237 4.051465849924901
2.97775927134164 4.049256234249733
2.8582162364555517 3.9728974248593523
2.9963147168661775 3.951213621073679
2.9566206460409705 3.936440169405288
3.018587169166035 4.015512031416721
3.011639485517681 4.026045973600821
2.852497095157565 3.9924363789565303
2.853655440166329 4.004987869519654
3.022862858505227 3.9932664921239702
2.9756854099032424 3.9417317214542797
2.8824200997264633 3.9499976691565286
3.0112207952134296 4.02571502415344
2.948816511283513 4.054903668958415
2.8780381649655586 3.9530030096587976
2.8660418774043466 3.9636346548332346
2.853045241569995 3.99673757926628
3.0047775131610015 3.9589735209397525
2.9882204395968786 3.947494079972297
2.853376660207087 3.996855945586643
2.901400415706216 4.049341280505262
2.9221841046240815 4.054066974665334
2.987386034505602 3.947345086990541
2.988129291196042 4.043239707251761
2.8898297362763046 4.044295806389519
2.933217341377308 4.054772026916365
2.856175794320832 4.0091958803124195
2.863034874043377 4.0223536647583815
2.8941389097806196 3.9449315266200946
2.9089411035509882 4.051036684318527
2.9386283940034543 4.054642992229988
2.855650564692151 4.007031926989393
3.0180428205177803 3.978841958122019
3.0204301843964414 3.9863547434826896
2.871262295131434 4.031324548296011
2.855008163043278 4.003324297565076
2.8740256229620726 4.0336130760306075
2.961161908522805 3.9387763023995204
2.8929257508076374 3.945724765278724
2.896474320232773 4.046540070507026
2.8589221649623915 4.014314990325609
2.855656017263692 4.004480742774018
3.0146701992069684 4.017864997359114
2.975872468690252 4.047661851246379
3.020515106443042 4.001041530558448
3.020721779408906 3.9988251905239918
2.8617074251457275 4.018982623050001
2.9721300509014785 3.9420704384653904
2.8711593446526438 3.96066861941005
2.8884854323189812 3.9484182881500436
2.9227197505864844 3.937877453110656
3.0204569149827956 3.993506810511602
3.011438219375178 4.022096811790949
3.0020115228695476 4.032296901131148
2.917214115590951 3.9388563598831636
2.908521075819362 3.9408709927848653
2.8703899104584374 4.029097452689962
3.0093729292680242 3.966539279919904
2.8556289165288247 4.000327287686639
2.9866961800661427 3.948541013845867
3.0132052008983647 4.019055250370975
2.882295637370673 3.952460327711921
2.870143353251913 3.9623656544364803
2.9503138855880087 4.0529222295309
2.8581951946319144 3.9810828403247003
3.0181106184837034 3.983778916002178
2.9224550879112177 3.938506622317108
2.8629304647284144 3.972238325982273
2.9850154320086593 3.948224851442477
2.8571879696099085 4.005130571724862
2.993381115476172 4.037855084819418
2.9079852717658268 3.9416885501285863
2.9886517532837207 4.040536178751878
2.896301893059319 4.0450496556716224
2.9097249585081557 4.049495681022502
3.0063369886553435 4.026592246890842
3.0180583052953547 4.0052646859963925
3.010598346329563 3.9699858559233747
2.858837735858974 4.0087353855116685
2.956686316279742 3.93962731947937
3.004842254863483 3.9632556403709174
3.0119608452825055 4.018606933247123
2.956245470228523 4.051174475524341
2.8754303231805745 4.0319529780202155
2.9683916511160824 3.94242115578775
3.009283650232799 4.022270590826613
2.9974983686515557 4.034035031036266
2.914874305865076 3.9406048430371636
2.983305305903875 4.0425805083344155
3.0121174203746746 3.9732122163941956
3.0092885542766465 3.9689951452377175
2.8589144528806814 4.007449834095985
2.8821338605543616 4.0366123722205245
3.017383611309473 3.986933726172494
2.8939290577204293 4.043010939017679
2.8619057235170886 3.976956802541331
2.8979624737894727 4.044622765640359
2.99166717711983 3.9535095591372027
2.8653228058906643 3.9716285674118215
2.984389209122948 3.9495102033758602
2.9646268004439076 3.9421622577824156
2.905655745241406 4.047105518060786
2.9747001264626998 3.945289572588939
2.8617079473492564 4.012370550044648
2.938299329681678 4.051716154903573
2.8583780299338395 3.9999622910369057
2.9539858682840063 4.05053138794035
2.988495423212014 3.9519569675650357
2.8855495812683434 3.9529044715591715
2.8839320152614794 4.036880396140946
2.9240305324766775 3.9399486404087596
2.983093468269358 3.949152099060563
3.0161772748046136 3.9859016535640186
2.882356799754395 4.0356698156772355
2.8588173493371487 3.990558422131836
3.013713569573701 3.9793008145471824
2.9531236609497884 4.050351410701292
3.0066953614922043 4.023110166183126
2.926543970123257 4.050795899480732
2.8717581155590044 4.026273316978815
2.864000433087922 4.0155833989129235
2.921020446781564 4.050006388336045
3.0016762419689207 4.028301885519414
2.89043505766579 3.950725982551906
2.880471098491334 4.033741774243371
2.862395315141023 4.011646922099679
2.9415085108748675 3.939687633252018
2.863206603218324 3.9776054749701544
2.953396019645261 3.940775920076554
2.8826126099553475 3.955759355102377
2.9844438987880197 4.040099707214692
2.865981820097222 3.973153917363219
2.9268331538671215 4.050265954188456
2.897291853249173 3.9479186839435467
2.8886942081705587 4.038595178619428
3.013893535965273 3.9826706243635215
2.8610863675125957 4.006200122321861
2.977463340259971 3.9477084441182937
2.9415544327026777 4.050524269729859
2.8849071834064635 4.036054048339285
3.0124716331171317 3.9792474905088895
2.8939614719689812 3.9496863862690343
2.9048937322021704 3.9453844492499224
2.9261148601504323 4.049827934949293
2.9905992355662376 3.954869820508904
2.9404371923522614 4.050363623804149
2.9619895365506506 4.0476656178712025
2.8723922734229674 4.025174076093735
2.926741087448052 3.9409389992841337
3.0041448363842527 3.9668260481935076
2.986750671647411 3.9527233083112794
3.015342442002723 3.992102474152208
2.8610081874487165 4.003317195606394
2.9066885073563418 3.9451158228298002
2.9426039338875003 4.050056176746638
2.9425892822287776 3.940691551113529
3.0128004989838555 3.9819773959209033
2.872642005671869 4.024876203216061
2.960948252766671 4.047469543150724
2.8638552916338176 4.01107035278001
2.92710126737449 4.049350622678041
2.9836121332160337 4.0392209991377745
2.9452986839333355 3.941201434419156
2.863964713484495 4.010496287872276
2.8681586990784913 4.018359079497745
3.0064412492848898 4.019731403979739
2.8996882217237383 3.948242333336798
2.920891576964646 4.048218102187166
2.954936331545634 4.048131723652326
2.895738725162196 3.9500862743426657
3.0068879669233954 3.972094687762925
2.9178710397849694 4.047581531317448
2.893879236999454 4.039667266403843
2.894137164280261 4.039790155197118
2.8792788878197655 3.9605285370832894
3.01112439145874 4.010820604779726
3.0035356929888826 3.967845110747078
2.9689688795767033 4.044641114945577
2.934609048976288 4.049228737511013
2.976817873690871 4.041722989049984
2.8700493750810563 4.020213071624684
2.9893603919912355 4.035045725872246
2.862101002274074 3.989498878220139
2.8661690776975246 4.013642508729997
2.961591157052848 4.046402395800223
2.866873578023243 3.9761546485589196
2.8798956248883254 3.960666829314654
2.8626148837157563 3.9882304289203283
2.878616517931532 3.961861035071452
3.0085003181305514 3.9760972017561125
3.0135381340390612 3.9965526973550958
2.863136290527921 4.004338393731443
2.954611678612769 4.0474973389126685
2.9471967442588145 4.04840634735541
2.9266364842217643 3.94239487888697
2.9318942478745575 4.048595500166118
2.9025456389053534 4.042599118388435
3.000116229679883 4.025587710992861
2.8693567243304194 4.017893445863985
2.8802698680013883 3.9608159520128665
2.9589874913151433 3.944159718107319
2.881807984321063 3.959735457113163
3.008084061359897 3.9764820051767718
2.8781083417985793 4.0274592116896475
3.0126502931863657 3.9985767090573123
2.8848726597575247 3.9579405166167527
2.8986184532273986 4.040363616075313
3.0125395629057965 3.9958559729386085
2.914891483150784 4.045527413368495
2.86327650339509 3.9941277069237224
2.865243186552289 3.9833563173718267
2.9974517952214024 3.9638896334960676
